NAMELSAD,beta_all,beta_top_2,beta_top_3,beta_top_4,beta_top_5,beta_top_6,beta_top_7,beta_top_8,beta_top_9,beta_top_10,beta_top_11,beta_top_12,beta_top_13,beta_top_14,beta_top_15,avg_beta_2_to_4
"Abilene, TX Metro Area",,,,,,,,,,,,,,,,
"Akron, OH Metro Area",-0.8023861275720335,-2.3051684866931956,-0.8023861275720335,,,,,,,,,,,,,
"Albany, GA Metro Area",,,,,,,,,,,,,,,,
"Albany-Lebanon, OR Metro Area",,,,,,,,,,,,,,,,
"Albany-Schenectady-Troy, NY Metro Area",-0.998905889533502,-1.291231696155175,-0.8537042017246435,-1.0547290351571372,-0.9989058895335018,,,,,,,,,,,-1.0665549776789853
"Albuquerque, NM Metro Area",-0.8137277202757018,-0.8137277202757044,,,,,,,,,,,,,,
"Alexandria, LA Metro Area",,,,,,,,,,,,,,,,
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",,,,,,,,,,,,,,,,
"Altoona, PA Metro Area",-0.3745455078746507,-0.3745455078746507,,,,,,,,,,,,,,
"Amarillo, TX Metro Area",,,,,,,,,,,,,,,,
"Ames, IA Metro Area",,,,,,,,,,,,,,,,
"Ann Arbor, MI Metro Area",,,,,,,,,,,,,,,,
"Anniston-Oxford, AL Metro Area",,,,,,,,,,,,,,,,
"Appleton, WI Metro Area",,,,,,,,,,,,,,,,
"Asheville, NC Metro Area",,,,,,,,,,,,,,,,
"Athens-Clarke County, GA Metro Area",,,,,,,,,,,,,,,,
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",-0.8893062230293648,-0.34665251472092945,-0.5189516594792494,-0.7020909841814402,-0.8893062230293651,,,,,,,,,,,-0.522565052793873
"Atlantic City-Hammonton, NJ Metro Area",,,,,,,,,,,,,,,,
"Auburn-Opelika, AL Metro Area",-1.1068121080317888,-1.106812108031785,,,,,,,,,,,,,,
"Augusta-Richmond County, GA-SC Metro Area",,,,,,,,,,,,,,,,
"Austin-Round Rock-Georgetown, TX Metro Area",-1.4903908708894757,-3.4218378673143066,-3.570408602055587,-1.2818640180456802,-1.3642090188152196,-1.490390870889473,,,,,,,,,,-2.758036829138524
"Bakersfield, CA Metro Area",-4.082345239349226,-4.082345239349228,,,,,,,,,,,,,,
"Baltimore-Columbia-Towson, MD Metro Area",-0.5428743787893627,-0.3035043735971519,-0.41796264860602095,-0.5428743787893628,,,,,,,,,,,,-0.4214471336641785
"Bangor, ME Metro Area",,,,,,,,,,,,,,,,
"Barnstable Town, MA Metro Area",,,,,,,,,,,,,,,,
"Baton Rouge, LA Metro Area",-3.0994201248984092,-3.0994201248984092,,,,,,,,,,,,,,
"Battle Creek, MI Metro Area",-0.3975282055199055,-0.3975282055199055,,,,,,,,,,,,,,
"Bay City, MI Metro Area",,,,,,,,,,,,,,,,
"Beaumont-Port Arthur, TX Metro Area",-0.6246344169454782,-0.4218137675638846,-0.6246344169454783,,,,,,,,,,,,,
"Beckley, WV Metro Area",,,,,,,,,,,,,,,,
"Bellingham, WA Metro Area",,,,,,,,,,,,,,,,
"Bend, OR Metro Area",,,,,,,,,,,,,,,,
"Billings, MT Metro Area",-0.7448253275556345,-0.5389933778699747,-0.7448253275556345,,,,,,,,,,,,,
"Binghamton, NY Metro Area",-0.8984896502027225,-0.727247643678344,-0.8984896502027215,,,,,,,,,,,,,
"Birmingham-Hoover, AL Metro Area",-0.3891148855949138,-0.3891148855949147,,,,,,,,,,,,,,
"Bismarck, ND Metro Area",,,,,,,,,,,,,,,,
"Blacksburg-Christiansburg, VA Metro Area",,,,,,,,,,,,,,,,
"Bloomington, IL Metro Area",,,,,,,,,,,,,,,,
"Bloomington, IN Metro Area",,,,,,,,,,,,,,,,
"Boise City, ID Metro Area",-1.3718494969852617,-0.5802339501837377,-0.8354584290241802,-1.102709963859021,-1.3718494969852675,,,,,,,,,,,-0.8394674476889796
"Boston-Cambridge-Newton, MA-NH Metro Area",-0.978762515416389,-0.38461067906885377,-0.5736668964880398,-0.6868257314327587,-0.8311442646729877,-0.9787625154163896,,,,,,,,,,-0.5483677689965507
"Boulder, CO Metro Area",-0.4033753781514296,-0.40337537815142976,,,,,,,,,,,,,,
"Bowling Green, KY Metro Area",,,,,,,,,,,,,,,,
"Bremerton-Silverdale-Port Orchard, WA Metro Area",,,,,,,,,,,,,,,,
"Bridgeport-Stamford-Norwalk, CT Metro Area",-0.4661027322145527,-5.709907142934377,-0.4661027322145528,,,,,,,,,,,,,
"Brownsville-Harlingen, TX Metro Area",-0.48422600015901207,-0.48422600015901207,,,,,,,,,,,,,,
"Brunswick, GA Metro Area",-1.1299151344047271,-1.1299151344047271,,,,,,,,,,,,,,
