NAMELSAD,beta_all,beta_top_2,beta_top_3,beta_top_4,beta_top_5,beta_top_6,beta_top_7,beta_top_8,beta_top_9,beta_top_10,beta_top_11,beta_top_12,beta_top_13,beta_top_14,beta_top_15,avg_beta_2_to_4
"Abilene, TX Metro Area",,,,,,,,,,,,,,,,
"Akron, OH Metro Area",-0.643177526347285,-7.167504606949169,-0.6431775263472845,,,,,,,,,,,,,
"Albany, GA Metro Area",,,,,,,,,,,,,,,,
"Albany-Lebanon, OR Metro Area",,,,,,,,,,,,,,,,
"Albany-Schenectady-Troy, NY Metro Area",-1.6001184533127384,-6.931151913579573,-2.53608790411874,-1.1054227056642567,-1.2477828438236938,-1.4387649160263505,-1.5684484199471216,-1.6001184533127417,,,,,,,,-3.5242208411208567
"Albuquerque, NM Metro Area",-0.8838268133414031,-0.8171910819690531,-0.5868850203823623,-0.7275036060446401,-0.8838268133414028,,,,,,,,,,,-0.7105265694653519
"Alexandria, LA Metro Area",-0.7371242797205935,-0.7371242797205935,,,,,,,,,,,,,,
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",-0.8679193261306596,-0.8679193261306596,,,,,,,,,,,,,,
"Altoona, PA Metro Area",-0.3745455078746507,-0.3745455078746507,,,,,,,,,,,,,,
"Amarillo, TX Metro Area",-0.39722874857964013,-0.3972287485796403,,,,,,,,,,,,,,
"Ames, IA Metro Area",,,,,,,,,,,,,,,,
"Ann Arbor, MI Metro Area",-0.5294321531993537,-0.36772835752874405,-0.5294321531993534,,,,,,,,,,,,,
"Anniston-Oxford, AL Metro Area",,,,,,,,,,,,,,,,
"Appleton, WI Metro Area",,,,,,,,,,,,,,,,
"Asheville, NC Metro Area",-0.2693443095959531,-0.2693443095959534,,,,,,,,,,,,,,
"Athens-Clarke County, GA Metro Area",,,,,,,,,,,,,,,,
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",-2.468808173499848,-0.6249869788739197,-0.9164755821536782,-1.2171826445649039,-1.5129618866708505,-1.6289281025291449,-1.789713898628413,-1.9642723215891476,-2.146075155072291,-2.2790467864334714,-2.434281175284383,-2.4688081734998484,,,,-0.9195484018641672
"Atlantic City-Hammonton, NJ Metro Area",,,,,,,,,,,,,,,,
"Auburn-Opelika, AL Metro Area",-1.1068121080317888,-1.106812108031785,,,,,,,,,,,,,,
"Augusta-Richmond County, GA-SC Metro Area",,,,,,,,,,,,,,,,
"Austin-Round Rock-Georgetown, TX Metro Area",-1.0335692301413402,-1.6504408908900272,-0.5694895097964386,-0.7155409833815356,-0.87529212135502,-1.0335692301413393,,,,,,,,,,-0.9784904613560005
"Bakersfield, CA Metro Area",-0.39080872912319886,-0.2657303992232937,-0.39080872912319886,,,,,,,,,,,,,
"Baltimore-Columbia-Towson, MD Metro Area",-1.6774423968490595,-0.39961406957525136,-0.5765029689639801,-0.744752126269639,-0.920359380961684,-1.1015454151789357,-1.2930587459857688,-1.4846688015342189,-1.6774423968490617,,,,,,,-0.5736230549362902
"Bangor, ME Metro Area",,,,,,,,,,,,,,,,
"Barnstable Town, MA Metro Area",-0.671495874891678,-0.671495874891678,,,,,,,,,,,,,,
"Baton Rouge, LA Metro Area",-0.2822435408233011,-0.2822435408233011,,,,,,,,,,,,,,
"Battle Creek, MI Metro Area",-0.37363271044609525,-0.37363271044609525,,,,,,,,,,,,,,
"Bay City, MI Metro Area",,,,,,,,,,,,,,,,
"Beaumont-Port Arthur, TX Metro Area",-1.4262919905278875,-1.585684137272243,-2.1398425585987066,-1.3355859510144428,-1.4688202692360213,-1.4262919905278841,,,,,,,,,,-1.6870375489617977
"Beckley, WV Metro Area",,,,,,,,,,,,,,,,
"Bellingham, WA Metro Area",-0.37273036596000275,-0.37273036596000275,,,,,,,,,,,,,,
"Bend, OR Metro Area",,,,,,,,,,,,,,,,
"Billings, MT Metro Area",-0.43858516023148236,-0.43858516023148236,,,,,,,,,,,,,,
"Binghamton, NY Metro Area",-0.832090157019296,-0.6546398365492212,-0.8320901570192945,,,,,,,,,,,,,
"Birmingham-Hoover, AL Metro Area",-0.3699523959374972,-0.3699523959374972,,,,,,,,,,,,,,
"Bismarck, ND Metro Area",,,,,,,,,,,,,,,,
"Blacksburg-Christiansburg, VA Metro Area",-0.8231272490207309,-0.5953139985955449,-0.8231272490207302,,,,,,,,,,,,,
"Bloomington, IL Metro Area",,,,,,,,,,,,,,,,
"Bloomington, IN Metro Area",,,,,,,,,,,,,,,,
"Boise City, ID Metro Area",-1.2797376720611788,-0.8409179271195291,-0.9312585428100828,-1.1084405829230044,-1.2797376720611826,,,,,,,,,,,-0.9602056842842055
"Boston-Cambridge-Newton, MA-NH Metro Area",-1.3864264678068916,-0.44249453868221744,-0.6589788312213674,-0.8822183525380987,-1.1285745955083035,-1.3864264678068965,,,,,,,,,,-0.6612305741472279
"Boulder, CO Metro Area",-0.3381774945719757,-0.3381774945719757,,,,,,,,,,,,,,
"Bowling Green, KY Metro Area",,,,,,,,,,,,,,,,
"Bremerton-Silverdale-Port Orchard, WA Metro Area",-0.3225307455463529,-0.3225307455463529,,,,,,,,,,,,,,
"Bridgeport-Stamford-Norwalk, CT Metro Area",-0.45376106127140725,-4.382507634900175,-0.4537610612714074,,,,,,,,,,,,,
"Brownsville-Harlingen, TX Metro Area",-0.8838716411972174,-0.6282478136122834,-0.8838716411972153,,,,,,,,,,,,,
"Brunswick, GA Metro Area",-0.9022906546302584,-0.9022906546302584,,,,,,,,,,,,,,
"Buffalo-Cheektowaga, NY Metro Area",-0.6535271090620673,-0.4882168935428512,-0.6535271090620673,,,,,,,,,,,,,
"Burlington, NC Metro Area",-0.3588135660659637,-0.3588135660659637,,,,,,,,,,,,,,
"Burlington-South Burlington, VT Metro Area",-0.8453882511575463,-0.5942824724446978,-0.8453882511575448,,,,,,,,,,,,,
"California-Lexington Park, MD Metro Area",,,,,,,,,,,,,,,,
"Canton-Massillon, OH Metro Area",-0.326169357374339,-0.326169357374339,,,,,,,,,,,,,,
"Cape Coral-Fort Myers, FL Metro Area",-1.9860705972641517,-5.018984186748044,-1.3358031370373111,-1.313960303847549,-1.5067710389728577,-1.7372010334210823,-1.8455801704091108,-1.9860705972641561,,,,,,,,-2.5562492092109683
"Cape Girardeau, MO-IL Metro Area",,,,,,,,,,,,,,,,
"Carson City, NV Metro Area",-1.6923864040816579,-1.9785224359007918,-1.6923864040816559,,,,,,,,,,,,,
"Casper, WY Metro Area",,,,,,,,,,,,,,,,
"Cedar Rapids, IA Metro Area",,,,,,,,,,,,,,,,
"Champaign-Urbana, IL Metro Area",,,,,,,,,,,,,,,,
"Charleston, WV Metro Area",-0.4592116724868818,-0.4592116724868818,,,,,,,,,,,,,,
"Charleston-North Charleston, SC Metro Area",-1.0486887355130485,-0.729812528736976,-1.0486887355130485,,,,,,,,,,,,,
"Charlotte-Concord-Gastonia, NC-SC Metro Area",-1.8029582259775077,-0.45440311788360765,-0.6392600564470088,-0.8364307113965845,-1.0348934423536262,-1.235791605033539,-1.4357438620610468,-1.6366886009234918,-1.8029582259775108,,,,,,,-0.6433646285757336
"Charlottesville, VA Metro Area",,,,,,,,,,,,,,,,
"Chattanooga, TN-GA Metro Area",-0.37949774481881693,-0.37949774481881693,,,,,,,,,,,,,,
"Cheyenne, WY Metro Area",,,,,,,,,,,,,,,,
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",-2.074119588830471,-0.4402503081757985,-0.5936901785449712,-0.7709943017687959,-0.9564490312891377,-1.146725025122116,-1.3244693023431986,-1.482019099621454,-1.6205551224509565,-1.7626629356434766,-1.904816879864303,-2.0480558221855936,-2.0741195888304667,,,-0.6016449294965219
"Chico, CA Metro Area",-0.3866030389601361,-0.3866030389601361,,,,,,,,,,,,,,
"Cincinnati, OH-KY-IN Metro Area",-1.0218893301390737,-1.1132063653173558,-0.841549972996648,-0.9095808399116602,-0.9916153106630159,-1.0218893301390735,,,,,,,,,,-0.9547790594085547
"Clarksville, TN-KY Metro Area",,,,,,,,,,,,,,,,
"Cleveland, TN Metro Area",,,,,,,,,,,,,,,,
"Cleveland-Elyria, OH Metro Area",-2.027136199748269,-0.8384195179113283,-1.0699129325750032,-1.2541242180423808,-1.3635010080945116,-1.3498921815419502,-1.4489161932599028,-1.5525342420213326,-1.6831008399744902,-1.7963631582824773,-1.9220624982398882,-2.0271361997482695,,,,-1.054152222842904
"Coeur d'Alene, ID Metro Area",,,,,,,,,,,,,,,,
"College Station-Bryan, TX Metro Area",,,,,,,,,,,,,,,,
"Colorado Springs, CO Metro Area",-5.636862729800905,-5.636862729801066,,,,,,,,,,,,,,
"Columbia, MO Metro Area",-0.5448223600962094,-0.5448223600962094,,,,,,,,,,,,,,
"Columbia, SC Metro Area",,,,,,,,,,,,,,,,
"Columbus, GA-AL Metro Area",,,,,,,,,,,,,,,,
"Columbus, IN Metro Area",,,,,,,,,,,,,,,,
"Columbus, OH Metro Area",-1.4842893713050511,-1.1673912373907662,-1.0417030791437587,-1.045956165402817,-1.2255749250084573,-1.3949201985504476,-1.484289371305051,,,,,,,,,-1.0850168273124474
"Corpus Christi, TX Metro Area",-0.2141479111513358,-0.2141479111513358,,,,,,,,,,,,,,
"Corvallis, OR Metro Area",,,,,,,,,,,,,,,,
"Crestview-Fort Walton Beach-Destin, FL Metro Area",-0.5490315102549224,-0.5490315102549218,,,,,,,,,,,,,,
"Cumberland, MD-WV Metro Area",,,,,,,,,,,,,,,,
"Dallas-Fort Worth-Arlington, TX Metro Area",-4.681022080775165,-2.0240706944234397,-2.8905633677924056,-3.3049704869615057,-2.658182534954834,-2.8975093167172212,-3.183339076197943,-3.497994684256329,-3.760837710141299,-3.7788643837678784,-3.836538222480695,-3.5680462864299645,-3.536769861146578,-3.600095454853049,-3.70202943895069,-2.739868183059117
"Dalton, GA Metro Area",,,,,,,,,,,,,,,,
"Danville, IL Metro Area",,,,,,,,,,,,,,,,
"Daphne-Fairhope-Foley, AL Metro Area",,,,,,,,,,,,,,,,
"Davenport-Moline-Rock Island, IA-IL Metro Area",-0.6304168552354419,-17.885562393450268,-0.630416855235442,,,,,,,,,,,,,
"Dayton-Kettering, OH Metro Area",-0.3178644083160127,-0.3178644083160127,,,,,,,,,,,,,,
"Decatur, AL Metro Area",-0.3904457484065778,-0.3904457484065778,,,,,,,,,,,,,,
"Decatur, IL Metro Area",,,,,,,,,,,,,,,,
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",-0.8574762153452835,-0.5972161919174828,-0.7822522769436153,-0.8574762153452833,,,,,,,,,,,,-0.7456482280687938
"Denver-Aurora-Lakewood, CO Metro Area",-2.267641867268969,-64.764255027787,-2.0404978255058257,-1.611946023770194,-1.8646249744000833,-1.695613846950725,-1.781755511156671,-1.9274939088374774,-2.0762357536340614,-2.1774829719476747,-2.267641867268969,,,,,-22.80556629235434
"Des Moines-West Des Moines, IA Metro Area",-0.9113152146036716,-0.3675374481423014,-0.5398688375647692,-0.7182923348563006,-0.9113152146036718,,,,,,,,,,,-0.5418995401877904
"Detroit-Warren-Dearborn, MI Metro Area",-3.7386239939860157,-2.7036086869126015,-4.022589510412137,-2.4922498170881378,-2.0705467672537323,-2.1345793722620394,-1.9692029222939422,-2.0734558426028977,-2.225277928714737,-2.295881304485778,-2.422742402674585,-2.5478926152316825,-2.6823165182571143,-2.8211216333101197,-2.969947207094692,-3.072816004804292
"Dothan, AL Metro Area",,,,,,,,,,,,,,,,
