NAMELSAD,beta_all,beta_top_2,beta_top_3,beta_top_4,beta_top_5,beta_top_6,beta_top_7,beta_top_8,beta_top_9,beta_top_10,beta_top_11,beta_top_12,beta_top_13,beta_top_14,beta_top_15,avg_beta_2_to_4,count_centers
"Abilene, TX Metro Area",,,,,,,,,,,,,,,,,1
"Akron, OH Metro Area",-1.3029877990532548,-3.56477251376721,-0.8183814512343303,-1.0417847552216344,-1.2024383739889168,-1.3029877990532548,,,,,,,,,,-1.8083129067410582,6
"Albany, GA Metro Area",,,,,,,,,,,,,,,,,1
"Albany-Lebanon, OR Metro Area",,,,,,,,,,,,,,,,,1
"Albany-Schenectady-Troy, NY Metro Area",-1.1724190122536007,-1.291231696155175,-0.8537042017246435,-1.0547290351571372,-1.0710720644807195,-1.172419012253601,,,,,,,,,,-1.0665549776789853,6
"Albuquerque, NM Metro Area",-1.4466920604295779,-1.1171965293367823,-0.7218890624237957,-0.9045259499699867,-1.1043264315036416,-1.3088858002936752,-1.4466920604295797,,,,,,,,,-0.914537180576855,7
"Alexandria, LA Metro Area",,,,,,,,,,,,,,,,,1
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",-0.3219312631863548,-0.3219312631863548,,,,,,,,,,,,,,,2
"Altoona, PA Metro Area",-0.3745455078746507,-0.3745455078746507,,,,,,,,,,,,,,,2
"Amarillo, TX Metro Area",,,,,,,,,,,,,,,,,1
"Ames, IA Metro Area",,,,,,,,,,,,,,,,,1
"Ann Arbor, MI Metro Area",,,,,,,,,,,,,,,,,1
"Anniston-Oxford, AL Metro Area",,,,,,,,,,,,,,,,,1
"Appleton, WI Metro Area",,,,,,,,,,,,,,,,,1
"Asheville, NC Metro Area",-0.2852601028550801,-0.2852601028550801,,,,,,,,,,,,,,,2
"Athens-Clarke County, GA Metro Area",,,,,,,,,,,,,,,,,1
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",-3.9678154683467777,-0.39414098241205986,-0.5824154151201802,-0.7769368754146542,-0.9734284409306782,-1.2009327949995026,-1.4292403197605545,-1.6602062546143688,-1.925415636856065,-2.1884755923012547,-2.445908545510499,-2.7007261772708624,-2.9526618535976143,-3.2161931934928765,-3.480716984549283,-0.5844977576489647,17
"Atlantic City-Hammonton, NJ Metro Area",,,,,,,,,,,,,,,,,1
"Auburn-Opelika, AL Metro Area",-1.1068121080317888,-1.106812108031785,,,,,,,,,,,,,,,2
"Augusta-Richmond County, GA-SC Metro Area",,,,,,,,,,,,,,,,,1
"Austin-Round Rock-Georgetown, TX Metro Area",-2.2666959324938416,-3.4218378673143066,-2.5804546333484946,-1.3417287442146884,-1.5230462627620183,-1.7289114148978764,-1.9532488294543786,-2.1483166849104376,-2.266695932493843,,,,,,,-2.4480070816258297,9
"Bakersfield, CA Metro Area",-0.8235105950744706,-5.420015402865406,-0.6445922236656663,-0.823510595074471,,,,,,,,,,,,-2.296039407201848,4
"Baltimore-Columbia-Towson, MD Metro Area",-1.7198741747753616,-0.2967731746903678,-0.4448839045464226,-0.6026191708065374,-0.7603593151266266,-0.9217685310456498,-1.091959723038729,-1.2656321080877642,-1.477321214005657,-1.7198741747753616,,,,,,-0.44809208334777595,10
"Bangor, ME Metro Area",,,,,,,,,,,,,,,,,1
"Barnstable Town, MA Metro Area",,,,,,,,,,,,,,,,,1
"Baton Rouge, LA Metro Area",-1.018409159554017,-3.0994201248984092,-0.7202553133935184,-0.8948665667592797,-1.018409159554017,,,,,,,,,,,-1.5715140016837357,5
"Battle Creek, MI Metro Area",-0.3975282055199055,-0.3975282055199055,,,,,,,,,,,,,,,2
"Bay City, MI Metro Area",,,,,,,,,,,,,,,,,1
"Beaumont-Port Arthur, TX Metro Area",-0.8341705977282018,-0.4218137675638846,-0.6246344169454783,-0.8341705977282012,,,,,,,,,,,,-0.6268729274125214,4
"Beckley, WV Metro Area",,,,,,,,,,,,,,,,,1
"Bellingham, WA Metro Area",,,,,,,,,,,,,,,,,1
"Bend, OR Metro Area",,,,,,,,,,,,,,,,,1
"Billings, MT Metro Area",-0.775532384291121,-0.564996559343814,-0.7755323842911226,,,,,,,,,,,,,,3
"Binghamton, NY Metro Area",-0.8984896502027225,-0.727247643678344,-0.8984896502027215,,,,,,,,,,,,,,3
"Birmingham-Hoover, AL Metro Area",-0.7347910016805186,-0.3891148855949147,-0.559110037113795,-0.7347910016805187,,,,,,,,,,,,-0.5610053081297428,4
"Bismarck, ND Metro Area",,,,,,,,,,,,,,,,,1
"Blacksburg-Christiansburg, VA Metro Area",,,,,,,,,,,,,,,,,1
"Bloomington, IL Metro Area",,,,,,,,,,,,,,,,,1
"Bloomington, IN Metro Area",,,,,,,,,,,,,,,,,1
"Boise City, ID Metro Area",-0.952018615334957,-0.4731543846533794,-0.7088741749555855,-0.9520186153349566,,,,,,,,,,,,-0.7113490583146405,4
"Boston-Cambridge-Newton, MA-NH Metro Area",-1.7674395214201923,-0.37958017625662555,-0.5662435673761008,-0.7342480633744555,-0.9047975408132864,-1.0739553783998839,-1.2459351417309983,-1.421484266798386,-1.603590427800245,-1.7674395214201934,,,,,,-0.5600239356690606,10
"Boulder, CO Metro Area",-0.4033753781514296,-0.40337537815142976,,,,,,,,,,,,,,,2
"Bowling Green, KY Metro Area",,,,,,,,,,,,,,,,,1
"Bremerton-Silverdale-Port Orchard, WA Metro Area",,,,,,,,,,,,,,,,,1
"Bridgeport-Stamford-Norwalk, CT Metro Area",-0.4661027322145527,-5.709907142934377,-0.4661027322145528,,,,,,,,,,,,,,3
"Brownsville-Harlingen, TX Metro Area",-0.9002587313798384,-0.6558205174718322,-0.9002587313798387,,,,,,,,,,,,,,3
"Brunswick, GA Metro Area",-1.1299151344047271,-1.1299151344047271,,,,,,,,,,,,,,,2
"Buffalo-Cheektowaga, NY Metro Area",-0.9263132527257021,-0.37653560554704224,-0.4929207274142019,-0.6332131493994425,-0.7795828308390266,-0.9263132527257024,,,,,,,,,,-0.5008898274535621,6
"Burlington, NC Metro Area",,,,,,,,,,,,,,,,,1
"Burlington-South Burlington, VT Metro Area",-0.4708433541347888,-0.4708433541347888,,,,,,,,,,,,,,,2
"California-Lexington Park, MD Metro Area",,,,,,,,,,,,,,,,,1
"Canton-Massillon, OH Metro Area",-0.334373946486444,-0.334373946486444,,,,,,,,,,,,,,,2
"Cape Coral-Fort Myers, FL Metro Area",-1.2404943437185731,-1.3745295774373492,-1.1920686198351749,-1.2404943437185731,,,,,,,,,,,,-1.2690308469970324,4
"Cape Girardeau, MO-IL Metro Area",,,,,,,,,,,,,,,,,1
"Carson City, NV Metro Area",-2.6349367606952536,-8.223814277351055,-2.634936760695254,,,,,,,,,,,,,,3
"Casper, WY Metro Area",,,,,,,,,,,,,,,,,1
"Cedar Rapids, IA Metro Area",-0.5525606719134268,-0.5525606719134268,,,,,,,,,,,,,,,2
"Champaign-Urbana, IL Metro Area",,,,,,,,,,,,,,,,,1
"Charleston, WV Metro Area",-0.940698649186835,-0.46238990465682356,-0.6935838081637906,-0.9406986491868354,,,,,,,,,,,,-0.6988907873358166,4
"Charleston-North Charleston, SC Metro Area",-0.5729976800303712,-0.5729976800303712,,,,,,,,,,,,,,,2
"Charlotte-Concord-Gastonia, NC-SC Metro Area",-0.8571190677473588,-0.2673148147833572,-0.4008855466127582,-0.545400383931929,-0.6970862910648472,-0.8571190677473584,,,,,,,,,,-0.4045335817760148,6
"Charlottesville, VA Metro Area",,,,,,,,,,,,,,,,,1
"Chattanooga, TN-GA Metro Area",,,,,,,,,,,,,,,,,1
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",-1.6345895910512287,-0.703655704398891,-0.9633117495167144,-1.1246396908893408,-1.2930130919804674,-1.3352122460840579,-1.418263324729136,-1.5000904695288992,-1.5818860843526932,-1.6345895910512314,,,,,,-0.9305357149349821,10
"Chico, CA Metro Area",,,,,,,,,,,,,,,,,1
"Cincinnati, OH-KY-IN Metro Area",-0.9911065124171234,-0.8987640148656962,-0.7245529873397407,-0.8441917530011533,-0.9911065124171234,,,,,,,,,,,-0.8225029184021967,5
"Clarksville, TN-KY Metro Area",-1.5182231633593828,-1.431727411872386,-1.5182231633593828,,,,,,,,,,,,,,3
"Cleveland, TN Metro Area",,,,,,,,,,,,,,,,,1
"Cleveland-Elyria, OH Metro Area",-1.8175178884483507,-0.7430032251890977,-0.5267066475968767,-0.6669085118498614,-0.8158823784302128,-0.9702609996430792,-1.1310019441822456,-1.2933343299553004,-1.461402343607665,-1.6305418957947473,-1.8175178884483505,,,,,-0.6455394615452786,11
"Coeur d'Alene, ID Metro Area",,,,,,,,,,,,,,,,,1
"College Station-Bryan, TX Metro Area",,,,,,,,,,,,,,,,,1
"Colorado Springs, CO Metro Area",-1.0605811591385435,-0.8059596986220594,-0.8444905923408073,-1.0605811591385435,,,,,,,,,,,,-0.9036771500338033,4
"Columbia, MO Metro Area",,,,,,,,,,,,,,,,,1
"Columbia, SC Metro Area",-0.9101889367096188,-1.2059574696716944,-1.0513211942207237,-0.9101889367096186,,,,,,,,,,,,-1.0558225335340121,4
"Columbus, GA-AL Metro Area",-0.31819836280502145,-0.31819836280502145,,,,,,,,,,,,,,,2
"Columbus, IN Metro Area",,,,,,,,,,,,,,,,,1
"Columbus, OH Metro Area",-3.0471334164666395,-0.6183023711286356,-0.8376088025223652,-1.0912674096991684,-1.357762164625107,-1.6339822667240689,-1.9220486722137697,-2.2073392979029456,-2.4918411781892535,-2.7752841732217175,-3.047133416466636,,,,,-0.8490595277833898,11
"Corpus Christi, TX Metro Area",-0.3184133445681732,-0.3184133445681732,,,,,,,,,,,,,,,2
"Corvallis, OR Metro Area",,,,,,,,,,,,,,,,,1
"Crestview-Fort Walton Beach-Destin, FL Metro Area",-0.5761745041873939,-0.5761745041873948,,,,,,,,,,,,,,,2
"Cumberland, MD-WV Metro Area",,,,,,,,,,,,,,,,,1
"Dallas-Fort Worth-Arlington, TX Metro Area",-3.79810318128873,-6.2190634776133376,-9.070078762720462,-3.5213017556535746,-3.656605642584237,-4.05541240193111,-4.147308104354492,-4.432093057309431,-3.1058320962048542,-2.9275154992973924,-2.9714534487444904,-3.0815442675916076,-3.221080219092821,-3.382954285052718,-3.5518797590815225,-6.270147998662458,18
"Dalton, GA Metro Area",,,,,,,,,,,,,,,,,1
"Danville, IL Metro Area",,,,,,,,,,,,,,,,,1
"Daphne-Fairhope-Foley, AL Metro Area",,,,,,,,,,,,,,,,,1
"Davenport-Moline-Rock Island, IA-IL Metro Area",-0.8458001857655755,-1.2853210630737815,-0.8458001857655761,,,,,,,,,,,,,,3
"Dayton-Kettering, OH Metro Area",-0.6189143172708835,-0.4301751535631601,-0.6189143172708835,,,,,,,,,,,,,,3
"Decatur, AL Metro Area",,,,,,,,,,,,,,,,,1
"Decatur, IL Metro Area",,,,,,,,,,,,,,,,,1
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",-0.7814201573415068,-0.4244535698767839,-0.5964456567745742,-0.7814201573415065,,,,,,,,,,,,-0.6007731279976215,4
"Denver-Aurora-Lakewood, CO Metro Area",-2.6227272706559512,-1.000915474478001,-1.4999746777453118,-2.036104452001255,-2.453422224375042,-2.101267200210871,-2.0872572127384528,-2.2335749155568214,-2.4228009178968666,-2.622727270655954,,,,,,-1.5123315347415227,10
"Des Moines-West Des Moines, IA Metro Area",-0.7739754896385642,-0.3977978613963633,-0.5824023026712486,-0.7739754896385651,,,,,,,,,,,,-0.584725217902059,4
"Detroit-Warren-Dearborn, MI Metro Area",-3.529536210334731,-14.643134860758932,-2.317415688209718,-2.071449398669504,-2.1124770556163153,-2.3447041842649083,-2.429114229673684,-2.596156890195741,-2.6481274102614076,-2.7453931392868873,-2.8874892980252254,-2.9214546053355672,-3.025514758921803,-3.109468003443014,-3.2280945293647125,-6.343999982546052,18
"Dothan, AL Metro Area",,,,,,,,,,,,,,,,,1
"Dover, DE Metro Area",,,,,,,,,,,,,,,,,1
"Dubuque, IA Metro Area",-0.6570643580742688,-0.6570643580742688,,,,,,,,,,,,,,,2
"Duluth, MN-WI Metro Area",,,,,,,,,,,,,,,,,1
"Durham-Chapel Hill, NC Metro Area",-0.9142179292844643,-2.318239956923145,-0.9142179292844637,,,,,,,,,,,,,,3
"East Stroudsburg, PA Metro Area",,,,,,,,,,,,,,,,,1
"Eau Claire, WI Metro Area",,,,,,,,,,,,,,,,,1
"El Paso, TX Metro Area",-0.5949423190932525,-0.2962264087256704,-0.44430502956513546,-0.5949423190932525,,,,,,,,,,,,-0.4451579191280195,4
"Elkhart-Goshen, IN Metro Area",,,,,,,,,,,,,,,,,1
"Enid, OK Metro Area",,,,,,,,,,,,,,,,,1
"Erie, PA Metro Area",-0.6580766881126096,-0.474419378553325,-0.6580766881126088,,,,,,,,,,,,,,3
"Eugene-Springfield, OR Metro Area",,,,,,,,,,,,,,,,,1
"Evansville, IN-KY Metro Area",-0.3085197355490843,-0.3085197355490843,,,,,,,,,,,,,,,2
"Fargo, ND-MN Metro Area",,,,,,,,,,,,,,,,,1
"Farmington, NM Metro Area",,,,,,,,,,,,,,,,,1
"Fayetteville, NC Metro Area",-0.7435212643298525,-1.0079717773495163,-0.7435212643298525,,,,,,,,,,,,,,3
"Fayetteville-Springdale-Rogers, AR Metro Area",-0.3204910654522293,-0.3204910654522293,,,,,,,,,,,,,,,2
"Flagstaff, AZ Metro Area",-0.6322157312512339,-0.6322157312512356,,,,,,,,,,,,,,,2
"Flint, MI Metro Area",-0.5988529651815505,-0.29885631547877156,-0.44529729815626445,-0.5988529651815504,,,,,,,,,,,,-0.44766885960552877,4
"Florence, SC Metro Area",-0.5046181992666813,-0.5046181992666813,,,,,,,,,,,,,,,2
"Florence-Muscle Shoals, AL Metro Area",,,,,,,,,,,,,,,,,1
"Fond du Lac, WI Metro Area",,,,,,,,,,,,,,,,,1
"Fort Collins, CO Metro Area",,,,,,,,,,,,,,,,,1
"Fort Smith, AR-OK Metro Area",,,,,,,,,,,,,,,,,1
"Fort Wayne, IN Metro Area",-0.4748886092462554,-0.4748886092462554,,,,,,,,,,,,,,,2
"Fresno, CA Metro Area",-0.6465470170691456,-0.3275706824505854,-0.4849799578318097,-0.646547017069145,,,,,,,,,,,,-0.4863658857838467,4
"Gadsden, AL Metro Area",,,,,,,,,,,,,,,,,1
"Gainesville, FL Metro Area",-0.5957417803800023,-0.4370268988008839,-0.5957417803800023,,,,,,,,,,,,,,3
"Gainesville, GA Metro Area",,,,,,,,,,,,,,,,,1
"Glens Falls, NY Metro Area",-0.6889787700151042,-0.6889787700151042,,,,,,,,,,,,,,,2
"Goldsboro, NC Metro Area",,,,,,,,,,,,,,,,,1
"Grand Forks, ND-MN Metro Area",,,,,,,,,,,,,,,,,1
"Grand Island, NE Metro Area",,,,,,,,,,,,,,,,,1
"Grand Junction, CO Metro Area",-0.8265802256037003,-0.8265802256037024,,,,,,,,,,,,,,,2
"Grand Rapids-Kentwood, MI Metro Area",-0.8583305988706196,-0.3280730201998294,-0.4918413971563481,-0.6596826886634172,-0.8583305988706202,,,,,,,,,,,-0.4931990353398649,5
"Grants Pass, OR Metro Area",,,,,,,,,,,,,,,,,1
"Great Falls, MT Metro Area",,,,,,,,,,,,,,,,,1
"Greeley, CO Metro Area",,,,,,,,,,,,,,,,,1
