NAMELSAD,std_dev_all,std_dev_2,std_dev_3,std_dev_4,std_dev_5,std_dev_6,std_dev_7,std_dev_8,std_dev_9,std_dev_10,std_dev_11,std_dev_12,std_dev_13,std_dev_14,std_dev_15,avg_std_dev_2_to_4
"Abilene, TX Metro Area",1.0,,,,,,,,,,,,,,,
"Akron, OH Metro Area",0.2674181278034826,0.6678776136271898,0.2674181278034826,,,,,,,,,,,,,
"Albany, GA Metro Area",1.0,,,,,,,,,,,,,,,
"Albany-Lebanon, OR Metro Area",1.0,,,,,,,,,,,,,,,
"Albany-Schenectady-Troy, NY Metro Area",0.26627867947854433,0.46095523402152594,0.2631210567957941,0.2594040261603384,0.26627867947854433,,,,,,,,,,,0.32782677232588614
"Albuquerque, NM Metro Area",0.21269855533580106,0.4085676956675154,0.22204634175345683,0.21269855533580106,,,,,,,,,,,,0.2811041975855911
"Alexandria, LA Metro Area",1.0,,,,,,,,,,,,,,,
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",1.0,,,,,,,,,,,,,,,
"Altoona, PA Metro Area",0.0692589754816112,0.0692589754816112,,,,,,,,,,,,,,
"Amarillo, TX Metro Area",1.0,,,,,,,,,,,,,,,
"Ames, IA Metro Area",1.0,,,,,,,,,,,,,,,
"Ann Arbor, MI Metro Area",1.0,,,,,,,,,,,,,,,
"Anniston-Oxford, AL Metro Area",1.0,,,,,,,,,,,,,,,
"Appleton, WI Metro Area",1.0,,,,,,,,,,,,,,,
"Asheville, NC Metro Area",1.0,,,,,,,,,,,,,,,
"Athens-Clarke County, GA Metro Area",1.0,,,,,,,,,,,,,,,
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",0.23479764067304132,0.055869696496214094,0.10660889809753904,0.1747256087022271,0.23479764067304132,,,,,,,,,,,0.11240140109866008
"Atlantic City-Hammonton, NJ Metro Area",1.0,,,,,,,,,,,,,,,
"Auburn-Opelika, AL Metro Area",0.40515088820717704,0.40515088820717704,,,,,,,,,,,,,,
"Augusta-Richmond County, GA-SC Metro Area",1.0,,,,,,,,,,,,,,,
"Austin-Round Rock-Georgetown, TX Metro Area",0.2832857182438938,0.746588874482929,0.5646580553438949,0.35114379436518195,0.295566367808044,0.2832857182438938,,,,,,,,,,0.5541302413973352
