NAMELSAD,std_dev_all,std_dev_2,std_dev_3,std_dev_4,std_dev_5,std_dev_6,std_dev_7,std_dev_8,std_dev_9,std_dev_10,std_dev_11,std_dev_12,std_dev_13,std_dev_14,std_dev_15,avg_std_dev_2_to_4,count_centers_x,count_centers_y
"Abilene, TX Metro Area",,,,,,,,,,,,,,,,,1,1
"Akron, OH Metro Area",0.6639,1.5108,0.6073,0.5299,0.5543,0.5956,0.6353,0.6639,,,,,,,,0.9176,8,8
"Albany, GA Metro Area",,,,,,,,,,,,,,,,,1,1
"Albany-Lebanon, OR Metro Area",,,,,,,,,,,,,,,,,1,1
"Albany-Schenectady-Troy, NY Metro Area",0.788,0.9219,0.6071,0.6204,0.6765,0.7157,0.7544,0.788,,,,,,,,0.7277,8,8
"Albuquerque, NM Metro Area",0.8478,0.8171,0.5799,0.6003,0.6662,0.7297,0.7795,0.8207,0.8478,,,,,,,0.674,9,9
"Alexandria, LA Metro Area",,,,,,,,,,,,,,,,,1,1
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0.256,0.1396,0.256,,,,,,,,,,,,,,3,3
"Altoona, PA Metro Area",0.1385,0.1385,,,,,,,,,,,,,,,2,2
"Amarillo, TX Metro Area",,,,,,,,,,,,,,,,,1,1
"Ames, IA Metro Area",,,,,,,,,,,,,,,,,1,1
"Ann Arbor, MI Metro Area",0.1161,0.1161,,,,,,,,,,,,,,,2,2
"Anniston-Oxford, AL Metro Area",,,,,,,,,,,,,,,,,1,1
"Appleton, WI Metro Area",,,,,,,,,,,,,,,,,1,1
"Asheville, NC Metro Area",0.193,0.0601,0.193,,,,,,,,,,,,,,3,3
"Athens-Clarke County, GA Metro Area",,,,,,,,,,,,,,,,,1,1
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",1.0188,0.1582,0.2993,0.4752,0.6101,0.7097,0.7807,0.8346,0.8761,0.9084,0.9333,0.9527,0.9682,0.9809,0.9914,0.3015,19,19
"Atlantic City-Hammonton, NJ Metro Area",,,,,,,,,,,,,,,,,1,1
"Auburn-Opelika, AL Metro Area",0.8103,0.8103,,,,,,,,,,,,,,,2,2
"Augusta-Richmond County, GA-SC Metro Area",0.0631,0.0631,,,,,,,,,,,,,,,2,2
"Austin-Round Rock-Georgetown, TX Metro Area",0.808,1.4932,1.3028,0.8398,0.736,0.7104,0.7189,0.7386,0.7581,0.7717,0.7856,0.7994,0.808,,,1.23,13,13
"Bakersfield, CA Metro Area",0.4693,1.663,0.4666,0.3689,0.4078,0.4693,,,,,,,,,,0.879,6,6
"Baltimore-Columbia-Towson, MD Metro Area",0.978,0.1157,0.2326,0.4078,0.5517,0.6586,0.7388,0.7995,0.846,0.8819,0.9103,0.9331,0.9511,0.966,0.978,0.2435,15,15
